method_label,split_id,roc_auc,average_precision,pr_auc,balanced_accuracy
CellCNN,0,1.0,1.0,1.0,0.875
CellCNN,1,1.0,1.0,1.0,1.0
CellCNN,2,1.0,1.0,1.0,0.75
CellCNN,3,1.0,1.0,1.0,0.875
CellCNN,4,0.875,0.8333333333333333,0.7916666666666666,0.625
CellCNN,5,1.0,1.0,1.0,0.875
CellCNN,6,0.625,0.7,0.6625,0.625
CellCNN,7,0.75,0.75,0.7083333333333333,0.5
CellCNN,8,0.5,0.6666666666666666,0.6333333333333333,0.5
CellCNN,9,1.0,1.0,1.0,0.75
CellCNN,10,0.875,0.8333333333333333,0.7916666666666666,0.5
CellCNN,11,0.875,0.8333333333333333,0.7916666666666666,0.75
CellCNN,12,0.75,0.75,0.7083333333333333,0.5
CellCNN,13,1.0,1.0,1.0,0.75
CellCNN,14,1.0,1.0,1.0,0.875
CellCNN,15,0.625,0.5,0.3333333333333333,0.5
CellCNN,16,0.625,0.7,0.6625,0.5
CellCNN,17,0.625,0.7,0.6625,0.5
CellCNN,18,1.0,1.0,1.0,0.75
CellCNN,19,0.5,0.6666666666666666,0.6333333333333333,0.5
CellCNN,20,0.75,0.75,0.7083333333333333,0.625
CellCNN,21,0.625,0.7,0.6625,0.375
CellCNN,22,0.625,0.7,0.6625,0.5
CellCNN,23,0.625,0.7,0.6625,0.625
CellCNN,24,1.0,1.0,1.0,0.875
CellCNN,25,0.875,0.8333333333333333,0.7916666666666666,0.875
CellCNN,26,0.875,0.8333333333333333,0.7916666666666666,0.625
CellCNN,27,0.75,0.75,0.7083333333333333,0.5
CellCNN,28,1.0,1.0,1.0,0.875
CellCNN,29,1.0,1.0,1.0,1.0
Citrus,0,0.5,0.45,0.2875,0.5
Citrus,1,0.6875,0.7,0.6833333333333333,0.5
Citrus,2,0.75,0.5833333333333333,0.41666666666666663,0.375
Citrus,3,0.25,0.325,0.225,0.625
Citrus,4,0.875,0.8333333333333333,0.7916666666666666,0.5
Citrus,5,0.25,0.325,0.225,0.125
Citrus,6,0.25,0.3333333333333333,0.21666666666666667,0.25
Citrus,7,0.6875,0.7,0.6833333333333333,0.625
Citrus,8,0.0,0.26666666666666666,0.18333333333333335,0.25
Citrus,9,0.625,0.5,0.3333333333333333,0.625
